dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
auction,std,pilot,4,,3,20.0,,,0.004901008578302838,326143.10472411424,0.005050458669553957,619081.9163195671,0.004549230064845088,2833786.34920232,0.034189232176477284,0.5477225575051662,full,20.0,8,82.0,164.0,5.0
auction,std,pilot,4,,3,16.0,,,0.006546667267132377,505517.9489046739,0.004454368224954253,748104.9937791511,0.005659317527987372,2948959.722735073,0.03525304608816891,0.44721359549995787,full,16.0,9,103.0,206.0,5.0
auction,std,pilot,4,,3,14.0,,,0.006916745488473959,571060.482834457,0.00478312600258318,516460.96573957923,0.0038552760061052885,2783780.063481391,0.0341975217487613,0.44721359549995776,full,14.0,10,117.0,234.0,5.0
auction,std,pilot,4,,3,12.0,,,0.006886096161040457,591941.0518139568,0.0032204750622249075,606376.9150512125,0.007175362213565322,1684978.0873635644,0.025182652269894426,0.4472135954999579,full,12.0,11,137.0,274.0,5.0
auction,std,pilot,4,,3,10.0,,,0.10072837607865545,10633525.52808072,0.003961610676122189,555390.6849044325,0.006741541137198982,1733932.594020177,0.025707575963791616,0.0,full,10.0,12,164.0,328.0,5.0
auction,std,pilot,4,,3,8.0,,,0.011652438997585795,680167.7304838226,0.0031038409673444824,484233.6328123509,0.00608814590082067,1819492.4464038876,0.025864769538638324,0.44721359549995787,full,8.0,13,205.0,410.0,5.0
auction,std,pilot,4,,3,6.0,,,0.007948431505619824,1162276.3124623422,0.001896073478776899,851081.7038342522,0.010529552906181898,3359623.8806856493,0.04801677844470538,0.0,full,6.0,14,273.0,546.0,5.0
auction,std,pilot,4,,3,4.0,,,0.007834160208365836,1122269.9247137667,0.0013796566559292822,1137242.863988252,0.006971333066404627,4504616.187596496,0.028481827758534715,0.0,full,4.0,15,409.0,818.0,5.0
auction,std,pilot,4,,3,2.0,,,0.0006553207128801667,2294996.83039215,0.0031469326791226963,11190811.20431972,0.10257741719829269,14688766.992553882,0.10475770594785855,0.0,full,2.0,16,817.0,1634.0,5.0
auction,best_by_mean_val_r2,pilot,4,,3,64.0,,,0.888503382881823,12014546.442809679,0.02938346862792966,11239765.882367626,0.8954471664866098,12623286.040423777,0.8816024140226062,13.0,full,64.0,5,26.0,52.0,5.0
