dataset,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_r2,test_r2,train_mse,test_mse,loss,train_time_s,n_leaves,outer,n_outer_merged,cost_complexity,ridge_penalty,lasso_penalty,pilot_grid_index,pilot_target_complexity,pilot_min_sample_leaf,pilot_min_sample_split,threshold_label
airfoil,claritree,4,0.001,1e-05,3,20,quantile,0.0,0.8667205819741282,6.339456919073738,0.9278984201812349,0.8809793866783044,3.427499577150244,5.664580309842729,5235.965851524903,0.687110424041748,16.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.001,0.0001,3,20,quantile,0.0,0.8621071357197332,6.538481767681395,0.9166069304275448,0.8738207074843338,3.9657780637631888,5.994321264292965,6171.485302810996,0.6962090492248535,16.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.001,0.001,3,20,quantile,0.0,0.8530349505903935,6.9752220458665635,0.897612336191853,0.8589787545191424,4.869421617957973,6.690590079257309,7756.244474976988,0.6944158554077149,16.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.001,0.01,3,20,quantile,0.0,0.8116253900590126,8.9386537199175,0.8581721274761854,0.8264667385892339,6.744380225549703,8.268063331303109,11114.501530117588,0.6750146865844726,14.2,mean,5,,,,,,,,20
airfoil,claritree,4,0.001,0.1,3,20,quantile,0.0,0.6931997969541669,14.52477717190358,0.7666972037009432,0.7204901708602677,11.100567299509224,13.21779432750625,17595.210623915507,0.7081864833831787,13.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.003,1e-05,3,20,quantile,0.0,0.8684542760303199,6.246702042230334,0.9216457982392408,0.8793905331305704,3.73059942409632,5.704690420957241,7120.734117149967,0.7019904613494873,14.2,mean,5,,,,,,,,20
airfoil,claritree,4,0.003,0.0001,3,20,quantile,0.0,0.8497629155476801,7.131542719852035,0.9138950766643944,0.8796657355287728,4.095453209306799,5.728441130277981,7845.779851705101,0.6988553047180176,14.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.003,0.001,3,20,quantile,0.0,0.847538012024269,7.244818368033468,0.8952833564808751,0.8562416793856347,4.9797330407001565,6.834572546566297,9432.290019636117,0.7069111824035644,14.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.003,0.01,3,20,quantile,0.0,0.804206024740046,9.287871283431897,0.854642407755137,0.8170694405377237,6.9140276249906325,8.69394008875139,12642.388625020254,0.6825208187103271,12.8,mean,5,,,,,,,,20
airfoil,claritree,4,0.003,0.1,3,20,quantile,0.0,0.6976561114213149,14.312566193900016,0.7710812307688657,0.7391373246786568,10.892970744038767,12.318409798546478,19093.1601689927,0.7141087055206299,12.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.005,1e-05,3,20,quantile,0.0,0.8620998628131368,6.554942795624433,0.9114466105073189,0.8776587095461366,4.211672386247843,5.806123417620981,8606.621952560386,0.6955944538116455,11.8,mean,5,,,,,,,,20
airfoil,claritree,4,0.005,0.0001,3,20,quantile,0.0,0.8482606051721145,7.224885818419795,0.8985955145740337,0.8645089846434628,4.821669302417726,6.454855631826087,9549.648699324911,0.6980044841766357,11.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.005,0.001,3,20,quantile,0.0,0.8412248391058718,7.5432415208114545,0.8823574267688091,0.8422219345726832,5.591924983793143,7.5217880980712994,10955.276310176892,0.6977272510528565,12.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.005,0.01,3,20,quantile,0.0,0.8022300053670565,9.370941207776074,0.8464983220218987,0.8153564680644407,7.2995547507595235,8.813454066910785,13913.684836727098,0.7041994094848633,10.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.005,0.1,3,20,quantile,0.0,0.714061421188444,13.544563905319976,0.7684028495242163,0.7441953419421942,11.021741502094645,12.094052990625094,20490.956972263397,0.7125327587127686,11.6,mean,5,,,,,,,,20
airfoil,claritree,4,0.008,1e-05,3,20,quantile,0.0,0.8523173468317973,7.044607110364741,0.8932962706801959,0.8560122425571001,5.072032994972232,6.834549329329137,10585.5859823799,0.6789817333221435,9.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.008,0.0001,3,20,quantile,0.0,0.8359761845951768,7.805588391596322,0.8848339550661354,0.8536458004136296,5.475196042257179,6.971604905735757,11371.626672884988,0.6789818286895752,9.2,mean,5,,,,,,,,20
airfoil,claritree,4,0.008,0.001,3,20,quantile,0.0,0.8281483675460638,8.158880205595663,0.8591381565761941,0.818580236861935,6.696733435454699,8.655747996605708,12664.757598872357,0.7095347881317139,8.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.008,0.01,3,20,quantile,0.0,0.7924533585065977,9.837655120034103,0.8304065718765596,0.7975719091097851,8.064309473819431,9.660013199044972,15452.045903108414,0.7108723640441894,8.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.008,0.1,3,20,quantile,0.0,0.7170220637574781,13.418200393121944,0.759114855156378,0.7355824851719184,11.460162368298587,12.521437563641772,22158.893842395784,0.7093548774719238,8.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.01,1e-05,3,20,quantile,0.0,0.8386847635390413,7.675110091718432,0.8841046441280712,0.8530177548929714,5.508576004882727,6.987583638022554,11588.862299868792,0.6775602340698242,8.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.01,0.0001,3,20,quantile,0.0,0.8341585781847597,7.887918165863698,0.8674372193956549,0.846594050471712,6.303377173239209,7.307524918335391,12321.66231630935,0.660353136062622,7.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.01,0.001,3,20,quantile,0.0,0.8211045988968022,8.484821565488126,0.8527589826143478,0.8179260459826138,7.001921954230416,8.687673687197535,13584.778035925276,0.7027640342712402,7.8,mean,5,,,,,,,,20
airfoil,claritree,4,0.01,0.01,3,20,quantile,0.0,0.7856064016930293,10.155365392813447,0.8126901189683406,0.7869258732010602,8.904865709218688,10.154890527679688,16369.162790389692,0.7081636905670166,7.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.01,0.1,3,20,quantile,0.0,0.7156531975264959,13.481655566230074,0.7469336182168043,0.7262883419268922,12.03454642182178,12.974471140665264,23039.220373507163,0.704527759552002,7.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.03,1e-05,3,20,quantile,0.0,0.7938144902034784,9.757113484820115,0.8369885455742254,0.7996559276214208,7.750843161026998,9.52931424781855,18996.182340076855,0.5454748630523681,5.6,mean,5,,,,,,,,20
airfoil,claritree,4,0.03,0.0001,3,20,quantile,0.0,0.7854339130522631,10.168891694941802,0.8151760354919897,0.7744219755907954,8.790217700024455,10.732637156763193,19343.081298559227,0.5651236057281495,5.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.03,0.001,3,20,quantile,0.0,0.7716217689466219,10.835409994285138,0.7898709035987378,0.7486729014502949,9.994885441865218,11.946131566552975,20011.231638101737,0.6002718448638916,4.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.03,0.01,3,20,quantile,0.0,0.7449968497764046,12.102826346710732,0.7658803639647657,0.7430518665967157,11.134379115109878,12.223707125620908,22132.877430443397,0.6355289459228516,4.2,mean,5,,,,,,,,20
airfoil,claritree,4,0.03,0.1,3,20,quantile,0.0,0.6579533681304117,16.256275162901456,0.663008992233446,0.6458027321445401,16.02970579494837,16.84837779557085,28940.34128922254,0.6740750789642334,2.8,mean,5,,,,,,,,20
airfoil,claritree,4,0.05,1e-05,3,20,quantile,0.0,0.7261332947979541,13.005183271404889,0.7397226166927052,0.7274544649047593,12.379418903684778,12.949594366169682,23475.64635561863,0.41215338706970217,3.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.05,0.0001,3,20,quantile,0.0,0.7227666166657324,13.162859534917942,0.7395982786748884,0.7273604402754585,12.385316113757558,12.954924388456302,23585.6062496789,0.4170205593109131,3.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.05,0.001,3,20,quantile,0.0,0.7232439842224465,13.154136369497957,0.7343748588526123,0.720488680347963,12.632856280540711,13.292180678540607,24276.139308221376,0.43368959426879883,3.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.05,0.01,3,20,quantile,0.0,0.6542917184910548,16.418757060163408,0.659228897583385,0.646391890574346,16.206585165213607,16.80807735926381,25976.379744202233,0.5120597839355469,2.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.05,0.1,3,20,quantile,0.0,0.62658006896219,17.730861732189318,0.6361843370015937,0.628770144494026,17.30270195787073,17.665029259033865,31376.38088001494,0.6183258533477783,2.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.08,1e-05,3,20,quantile,0.0,0.6704500314867682,15.64837728134159,0.6936576662505363,0.6741930466790624,14.584721552632761,15.432436664568616,28504.212845817558,0.3019636154174804,2.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.08,0.0001,3,20,quantile,0.0,0.6590837674709479,16.16998597692944,0.6610869648908997,0.6470811956701071,16.118606126777866,16.772147283588925,28542.053547008418,0.30663094520568845,2.0,mean,5,,,,,,,,20
